"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Argentina","2017","Total","Male","2","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Argentina","2017","Total","Male","2","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Argentina","2017","Total","Male","2","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Argentina","2017","Total","Male","2","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","2","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","23",""
"Argentina","2017","Total","Male","2","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14",""
"Argentina","2017","Total","Male","2","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","58",""
"Argentina","2017","Total","Male","2","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","41",""
"Argentina","2017","Total","Male","2","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Argentina","2017","Total","Male","2","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Argentina","2017","Total","Male","2","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","2","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","2","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14",""
"Argentina","2017","Total","Male","2","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","176",""
"Argentina","2017","Total","Male","3","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Argentina","2017","Total","Male","3","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","3","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","3","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Argentina","2017","Total","Male","3","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Argentina","2017","Total","Male","3","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","3","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","3","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","3","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","3","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
